ts,trade_id,symbol,RangeA_ATR,BodyA_ATR,RangeB_ATR,BodyB_ATR,WickB_Ratio,SumOppBody5_ATR,RangeExpansion,TimeoutProgress,TouchNextBarFVG,is_extremum_forecast,rr_ext,has_open_fvg_in_range,DistanceToExt_ATR,SumOpp_from_Ext_ATR,SumOpp_from_Ext_N_ATR,SumOpp_from_Ext_over_Dist,fc_beyond_bar,fc_count_upto_bar,ATR_regime_ratio,Session_Asian,Session_London,Session_NY,is_London_open,is_NY_open,open_order_ticket,is_profitable,profit,rr_ext_less_0_5
2024.01.19 12:00:00,84,EURUSD,1.65617,0.250213,1.620426,0.679149,0.147059,1.441702,1.175454,0.333333,1,1,0.446667,0,0.768223,1.429787,0.357447,0.001562,1,3,0.713889,0,1,0,1,0,,1,432.36,1
2024.02.08 12:00:00,88,EURUSD,2.39173,0.426551,1.630033,0.868335,0.121495,1.767138,1.198208,0.333333,1,1,0.387755,0,0.821833,1.051143,0.525571,0.00084,1,1,0.643281,0,1,0,1,0,,0,-1014.25,1
2024.05.17 11:00:00,96,EURUSD,1.531532,0.27027,1.945946,0.684685,0.12963,1.801802,1.463415,0.0,1,1,0.473684,0,0.773956,1.495495,0.498498,0.001072,1,2,0.691812,0,1,0,1,0,,1,450.99,1
2024.07.11 11:00:00,102,EURUSD,1.438356,0.076712,1.457534,1.054795,0.065789,1.284932,1.320591,0.0,1,1,0.067568,0,0.096154,1.131507,0.282877,0.006136,1,1,0.643895,0,1,0,1,0,,1,38.26,1
2024.10.30 16:00:00,116,EURUSD,1.976362,0.946815,3.042679,2.730138,0.02719,2.877216,3.22298,0.333333,0,1,0.446629,0,1.227122,2.371635,0.790545,0.002102,1,1,1.369677,0,1,1,0,1,,1,440.69,1
2024.11.01 16:00:00,118,EURUSD,4.817099,1.795375,2.35459,1.726699,0.129167,2.982481,2.492212,0.333333,1,1,0.443243,0,1.403423,2.747022,0.915674,0.001995,1,2,1.093912,0,1,1,0,1,,1,436.94,1
2024.12.12 17:00:00,120,EURUSD,2.656994,0.349391,3.940801,2.795125,0.024742,3.315148,4.186448,0.333333,0,1,0.232465,0,0.75711,3.112014,0.778003,0.005059,1,1,1.124444,0,0,1,0,1,,0,-1002.19,1
2025.01.31 11:00:00,126,EURUSD,1.448043,0.642823,1.772837,1.339778,0.145038,1.339778,1.389552,0.0,0,1,0.264085,0,0.47043,1.475109,0.245851,0.004634,1,1,1.058311,0,1,0,1,0,,1,256.69,1
2025.08.25 11:00:00,164,EURUSD,1.79164,1.269453,2.142765,1.530547,0.138655,2.466881,1.357285,0.0,1,1,0.170306,0,0.344045,2.223794,0.741265,0.007179,1,1,0.861264,0,1,0,1,0,,1,160.21,1
2025.12.09 11:00:00,190,EURUSD,1.311475,0.672131,2.606557,0.803279,0.295597,2.098361,1.816105,0.0,1,1,0.482143,0,0.808556,1.491803,0.745902,0.001125,1,1,0.719491,0,1,0,1,0,,1,461.41,1
2026.01.27 12:00:00,198,EURUSD,1.428571,0.268908,2.605042,2.386555,0.025806,3.042017,2.084034,0.666667,0,1,0.4677,0,1.357985,5.142857,0.514286,0.004507,0,2,0.922575,0,1,0,1,0,,1,460.84,1
