ts,trade_id,symbol,RangeA_ATR,BodyA_ATR,RangeB_ATR,BodyB_ATR,WickB_Ratio,SumOppBody5_ATR,RangeExpansion,TimeoutProgress,TouchNextBarFVG,is_extremum_forecast,rr_ext,has_open_fvg_in_range,DistanceToExt_ATR,SumOpp_from_Ext_ATR,SumOpp_from_Ext_N_ATR,SumOpp_from_Ext_over_Dist,fc_beyond_bar,fc_count_upto_bar,ATR_regime_ratio,Session_Asian,Session_London,Session_NY,is_London_open,is_NY_open,open_order_ticket,is_profitable,profit
2016.06.13 16:00:00,68,EURUSD.TDS,0.889503,0.01547,1.732597,1.438674,0.03125,2.38232,1.671018,1.0,1,1,0.686347,0,1.333333,3.248619,0.406077,0.00315,1,1,1.067569,0,1,1,0,1,,0,-999.99
2016.07.06 12:00:00,70,EURUSD.TDS,1.305444,0.014113,2.378024,0.65625,0.31454,1.785282,1.785904,0.333333,1,1,0.857143,0,1.26691,1.785282,0.357056,0.001997,1,1,0.789766,0,1,0,1,0,,0,-1000.23
2016.07.19 12:00:00,72,EURUSD.TDS,2.532027,0.727958,2.321025,0.727958,0.495455,2.025622,1.934066,1.0,1,1,1.364238,0,1.976696,3.819141,0.424349,0.001831,1,3,0.687468,0,1,0,1,0,,0,-999.62
2016.08.01 16:00:00,76,EURUSD.TDS,1.12,0.702222,1.208889,0.764444,0.360294,3.822222,1.117961,0.333333,0,1,3.306122,0,2.86183,7.84,0.653333,0.003082,0,4,0.827184,0,1,1,0,1,,1,3120.71
2016.09.14 11:00:00,82,EURUSD.TDS,2.045617,0.878118,1.736279,1.107627,0.172414,2.145403,1.414634,0.333333,1,1,0.984127,0,1.828652,3.083393,0.440485,0.00169,1,3,0.70844,0,1,0,1,0,,0,-999.81
2016.10.17 11:00:00,86,EURUSD.TDS,1.082126,0.7343,2.164251,1.362319,0.174107,2.531401,1.617329,0.333333,1,1,0.659459,0,1.200281,2.666667,0.444444,0.002299,0,1,0.699335,0,1,0,1,0,,0,-1000.85
2016.10.18 12:00:00,88,EURUSD.TDS,1.338473,0.1835,1.003855,0.215883,0.483871,1.964534,0.940819,0.333333,1,1,0.722222,0,0.962236,1.446415,0.361604,0.001393,1,2,0.68045,0,1,0,1,0,,0,-1000.44
2016.10.28 12:00:00,90,EURUSD.TDS,1.378356,0.33035,2.004882,1.173312,0.107955,3.041497,1.433809,0.666667,0,1,1.239362,0,2.56044,4.852726,0.539192,0.001664,1,3,0.804024,0,1,0,1,0,,0,-1000.16
2016.11.18 12:00:00,94,EURUSD.TDS,1.753641,0.227216,0.873908,0.576779,0.066667,1.85851,0.691882,0.333333,1,1,1.11039,0,0.982759,2.126509,0.354418,0.003714,0,2,0.846051,0,1,0,1,0,,0,-999.46
2016.11.30 11:00:00,97,EURUSD.TDS,1.203909,0.793485,3.66645,3.018893,0.079602,2.608469,2.527507,0.333333,1,1,0.110811,0,0.3316,2.608469,0.521694,0.008625,1,1,0.696779,0,1,0,1,0,,1,110.7
2016.12.16 11:00:00,100,EURUSD.TDS,1.382808,0.657768,1.681794,1.285638,0.151111,2.511479,1.109194,0.0,0,1,3.244019,0,4.918135,7.429792,0.742979,0.002021,0,4,0.697133,0,1,0,1,0,,0,-999.02
2017.01.18 11:00:00,102,EURUSD.TDS,0.824029,0.203883,2.404126,1.129854,0.477032,3.024272,1.831715,0.333333,0,1,1.811688,0,2.126293,8.656553,0.786959,0.004792,0,4,0.700148,0,1,0,1,0,,0,-999.46
2017.03.02 12:00:00,106,EURUSD.TDS,1.321101,0.247706,1.816514,1.504587,0.09596,2.302752,1.500568,0.333333,1,1,0.181818,0,0.342159,1.477064,0.738532,0.004705,1,1,0.731083,0,1,0,1,0,,1,181.8
2017.06.01 17:00:00,114,EURUSD.TDS,1.64148,0.269932,0.93382,0.510683,0.335937,2.794164,0.973384,0.333333,0,1,1.766497,0,2.455645,3.808233,0.544033,0.002126,1,2,1.033673,0,0,1,0,1,,1,1676.16
2017.06.26 11:00:00,116,EURUSD.TDS,1.695502,0.096886,2.858131,1.453287,0.40113,3.051903,2.110912,0.666667,1,1,0.481707,0,1.102692,4.71511,0.589389,0.002648,1,1,0.797259,0,1,0,1,0,,0,-1000.4
2017.07.14 12:00:00,118,EURUSD.TDS,1.560241,0.126506,1.338855,0.948795,0.015748,2.646084,1.074905,0.333333,0,1,2.358491,0,3.868828,9.77259,0.651506,0.002396,1,4,0.740486,0,1,0,1,0,,0,-1000.11
2017.08.03 17:00:00,124,EURUSD.TDS,1.889748,0.411128,1.182895,0.699639,0.408537,2.315301,1.121751,0.666667,1,1,1.214286,0,1.640571,1.810407,0.452602,0.00153,1,2,0.912567,0,0,1,0,1,,0,-999.6
2017.08.08 11:00:00,126,EURUSD.TDS,1.163205,0.311573,1.589021,0.238872,0.69281,1.900593,1.428571,0.0,1,1,2.877193,0,1.615764,1.589021,0.397255,0.000947,1,1,0.656827,0,1,0,1,0,,0,-999.78
2017.08.25 12:00:00,128,EURUSD.TDS,2.390892,1.447818,2.842505,2.098672,0.233645,3.347249,2.324823,0.333333,0,1,1.169565,0,3.260606,14.053131,0.780729,0.003245,1,4,0.712937,0,1,0,1,0,,1,1170.15
2017.10.24 12:00:00,130,EURUSD.TDS,1.929089,0.304593,1.218372,1.004029,0.175926,1.590653,1.003717,0.333333,1,1,0.265116,0,0.671717,1.522965,0.507655,0.00201,1,1,0.609528,0,1,0,1,0,,1,265.05
2017.12.14 11:00:00,140,EURUSD.TDS,1.031652,0.387735,1.447082,0.560831,0.550239,1.897132,1.332059,0.0,0,1,1.108974,0,1.17118,1.897132,0.379426,0.00234,1,2,1.20664,0,1,0,1,0,,1,1108.93
2018.02.12 17:00:00,148,EURUSD.TDS,1.894389,1.132013,1.582508,1.132013,0.080292,3.523102,1.616042,0.666667,1,1,1.234657,0,1.860863,3.523102,0.70462,0.003278,1,2,0.876333,0,0,1,0,1,,1,1234.62
2018.03.05 11:00:00,150,EURUSD.TDS,1.421523,0.320343,2.542724,1.982124,0.177165,2.517698,2.565009,0.0,0,1,0.723327,0,1.756587,4.049339,0.578477,0.004606,0,1,1.304606,0,1,0,1,0,,1,691.33
2018.03.06 11:00:00,151,EURUSD.TDS,1.817544,0.425731,1.309942,0.433918,0.45,1.989474,1.068447,0.0,1,1,2.252336,0,1.946913,1.989474,0.397895,0.001248,1,2,0.682864,0,1,0,1,0,,1,2253.35
2018.05.02 12:00:00,164,EURUSD.TDS,2.438411,0.463576,2.818543,1.511258,0.226974,3.430464,2.028695,0.333333,0,1,0.563863,0,1.494104,5.748344,0.718543,0.00415,0,3,0.760582,0,1,0,1,0,,1,564.72
2018.05.16 12:00:00,168,EURUSD.TDS,1.711642,0.409157,1.834389,0.709206,0.420074,2.516318,1.437734,0.333333,1,1,1.239766,0,1.431051,1.834389,0.458597,0.00188,0,2,0.909749,0,1,0,1,0,,1,1240.2
2018.06.20 11:00:00,170,EURUSD.TDS,1.7553,0.483343,2.518474,0.856451,0.535354,2.509994,2.118402,0.333333,0,1,1.338129,0,1.449082,2.543913,0.423985,0.00207,1,1,0.706732,0,1,0,1,0,,0,-999.41
2018.07.23 11:00:00,172,EURUSD.TDS,1.219786,0.424958,2.234963,1.101743,0.376761,2.604834,1.856209,0.0,0,1,0.977654,0,1.289474,2.604834,0.520967,0.002567,1,1,0.902351,0,1,0,1,0,,0,-1000.61
2018.08.13 11:00:00,176,EURUSD.TDS,1.216764,0.22123,1.476469,0.822398,0.221498,2.717279,1.417359,0.0,1,1,0.291925,0,0.427689,1.192717,0.596359,0.005799,0,1,1.496421,0,1,0,1,0,,0,-1001.42
